lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_3_09_f000026|Fatalnie posuwa się do ruiny materyalnej i moralnej, tak jak wy wszyscy i cały wasz system.|Fatalnie posuwa się do ruiny materyalnej i moralnej tak jak wy wszyscy i cały wasz system.
lalka_3_09_f000027|- Jaki system?|- Jaki system?
lalka_3_09_f000028|- Wasz, polski system.|- Wasz polski system.
lalka_3_09_f000029|- A co doktor postawisz na jego miejsce?|- A co doktor postawisz na jego miejsce?
lalka_3_09_f000030|- Nasz, żydowski.|- Nasz żydowski.
lalka_3_09_f000031|Rzecki aż podskoczył na krześle.|Rzecki aż podskoczył na krześle.
lalka_3_09_f000032|- Jeszcze miesiąc temu nazywałeś pan żydów parchami?- Bo oni są parchy. Ale ich system jest wielki: on tryumfuje, kiedy wasz bankrutuje.|- Jeszcze miesiąc temu nazywałeś pan żydów parchami?- Bo oni są parchy. Ale ich system jest wielki: on tryumfuje kiedy wasz bankrutuje.
lalka_3_09_f000033|- A gdzież on siedzi ten nowy system?|- A gdzież on siedzi ten nowy system?
lalka_3_09_f000034|- W umysłach, które wyszły z masy żydowskiej, ale wzbiły się do szczytów cywilizacyi.|- W umysłach które wyszły z masy żydowskiej ale wzbiły się do szczytów cywilizacyi.
lalka_3_09_f000035|Weź pan Heinego, Bornego, Lassala, Marxa, Rotszylda, Bleichrudera, a poznasz nowe drogi świata. To żydzi je utorowali: ci pogardzani, prześladowani, ale cierpliwi i genialni.|Weź pan Heinego Bornego Lassala Marxa Rotszylda Bleichrdera a poznasz nowe drogi świata. To żydzi je utorowali: ci pogardzani prześladowani ale cierpliwi i genialni.
lalka_3_09_f000036|Rzecki przetarł oczy; zdawało mu się, że śni na jawie. Wreszcie rzekł pochwili:|Rzecki przetarł oczy; zdawało mu się że śni na jawie. Wreszcie rzekł pochwili:
lalka_3_09_f000037|- Wybacz doktor, ale... czy pan nie żartujesz ze mnie?... Pół roku temu, słyszałem od pana coś zupełnie innego.|- Wybacz doktor ale... czy pan nie żartujesz ze mnie?... Pół roku temu słyszałem od pana coś zupełnie innego.
lalka_3_09_f000038|- Pół roku temu - odparł rozdrażniony Szuman - słyszałeś pan protesty przeciw starym porządkom, a dziś słyszysz nowy program.|- Pół roku temu - odparł rozdrażniony Szuman - słyszałeś pan protesty przeciw starym porządkom a dziś słyszysz nowy program.
lalka_3_09_f000039|Człowiek patrzy dokoła siebie, myśli, sądzi i, w rezultacie, odpycha dawne złudzenia, przekonawszy się, że są złudzeniami... Ale pan tego nie pojmujesz,|Człowiek patrzy dokoła siebie myśli sądzi i w rezultacie odpycha dawne złudzenia przekonawszy się że są złudzeniami... Ale pan tego nie pojmujesz
lalka_3_09_f000040|ani Wokulski... Wszyscy bankrutujecie, wszyscy... Całe szczęście, że wasze miejsca zajmują świeże siły.|ani Wokulski... Wszyscy bankrutujecie wszyscy... Całe szczęście że wasze miejsca zajmują świeże siły.
lalka_3_09_f000041|- Nic pana nie rozumiem.|- Nic pana nie rozumiem.
lalka_3_09_f000042|- Zaraz mnie pan zrozumiesz - prawił doktor, gorączkując się coraz mocniej.|- Zaraz mnie pan zrozumiesz - prawił doktor gorączkując się coraz mocniej.
lalka_3_09_f000043|- Weź pan rodzinę Łęckich, co oni robili? Trwonili majątki;|- Weź pan rodzinę Łęckich co oni robili? Trwonili majątki;
lalka_3_09_f000044|trwonił dziad, ojciec i syn, któremu w rezultacie zostało 30 tysięcy ocalonych przez Wokulskiego i piękna córka dla dopełnienia niedoborów.|trwonił dziad ojciec i syn któremu w rezultacie zostało trzydzieści tysięcy ocalonych przez Wokulskiego i piękna córka dla dopełnienia niedoborów.
lalka_3_09_f000045|A co tymczasem robili Szlangbaumowie? Pieniądze. Zbierał je dziad i ojciec, tak że dziś syn, do niedawa skromny subiekt, za rok będzie trząsł naszym handlem.|A co tymczasem robili Szlangbaumowie? Pieniądze. Zbierał je dziad i ojciec tak że dziś syn do niedawa skromny subiekt za rok będzie trząsł naszym handlem.
lalka_3_09_f000046|A oni to rozumieją, bo stary Szlangbaum jeszcze w styczniu napisał szaradę:|A oni to rozumieją bo stary Szlangbaum jeszcze w styczniu napisał szaradę:
lalka_3_09_f000047|Pierwsze po niemiecku znaczy wąż, drugie roślina, wszystko do góry się wspina I zaraz mi objaśnił, że to znaczy: Szlang-Baum.|Pierwsze po niemiecku znaczy wąż drugie roślina wszystko do góry się wspina I zaraz mi objaśnił że to znaczy: Szlang-Baum.
lalka_3_09_f000048|Kiepska szarada, ale porządna robota - dodał, śmiejąc się doktor.|Kiepska szarada ale porządna robota - dodał śmiejąc się doktor.
lalka_3_09_f000049|Rzecki spuścił głowę, Szuman mówił dalej:|Rzecki spuścił głowę Szuman mówił dalej:
lalka_3_09_f000050|- Weź pan księcia, co on robi? Wzdycha nad tym nieszczęśliwym krajem i tyle.|- Weź pan księcia co on robi? Wzdycha nad tym nieszczęśliwym krajem i tyle.
lalka_3_09_f000051|A pan baron Krzeszowski? Myśli, ażeby wydobyć pieniądze od żony.|A pan baron Krzeszowski? Myśli ażeby wydobyć pieniądze od żony.
lalka_3_09_f000052|A baron Dalski? Usycha ze strachu, ażeby go nie zdradziła żona.|A baron Dalski? Usycha ze strachu ażeby go nie zdradziła żona.
lalka_3_09_f000053|Pan Maruszewicz poluje na pożyczki, a gdzie nie może pożyczyć, tam wykpiwa;|Pan Maruszewicz poluje na pożyczki a gdzie nie może pożyczyć tam wykpiwa;
lalka_3_09_f000054|zaś pan Starski siedzi przy dogorywającej babce, ażeby podsunąć jej do podpisania testament, ułożony według jego myśli.|zaś pan Starski siedzi przy dogorywającej babce ażeby podsunąć jej do podpisania testament ułożony według jego myśli.
lalka_3_09_f000055|Inni, więksi i mniejsi panowie, przeczuwając, że cały interes Wokulskiego przejdzie w ręce Szlangbauma, już składają mu wizyty.|Inni więksi i mniejsi panowie przeczuwając że cały interes Wokulskiego przejdzie w ręce Szlangbauma już składają mu wizyty.
lalka_3_09_f000056|Nie wiedzą biedaki! że on conajmniej o pięć procent zniży im dochody... Najmądrzejszy zaś z nich, Ochocki, zamiast wyzyskać lampy elektryczne swego systemu, myśli o machinach latających.|Nie wiedzą biedaki! że on conajmniej o pięć procent zniży im dochody... Najmądrzejszy zaś z nich Ochocki zamiast wyzyskać lampy elektryczne swego systemu myśli o machinach latających.
lalka_3_09_f000057|Ba!... zdaje mi się, że od kilku dni radzi o nich z Wokulskim. Zawsze znajdzie swój swego: marzyciel, marzyciela.|Ba!... zdaje mi się że od kilku dni radzi o nich z Wokulskim. Zawsze znajdzie swój swego: marzyciel marzyciela.
lalka_3_09_f000058|- No, już chyba Stachowi nie będziesz doktor nic zarzucał - przerwał niecierpliwie Rzecki.|- No już chyba Stachowi nie będziesz doktor nic zarzucał - przerwał niecierpliwie Rzecki.
lalka_3_09_f000059|- Nic, oprócz tego, że nigdy nie pilnował fachu, a zawsze gonił za mrzonkami.|- Nic oprócz tego że nigdy nie pilnował fachu a zawsze gonił za mrzonkami.
lalka_3_09_f000060|Będąc subiektem, chciał zostać uczonym, a zacząwszy uczyć się, postanowił awansować na bohatera.|Będąc subiektem chciał zostać uczonym a zacząwszy uczyć się postanowił awansować na bohatera.
lalka_3_09_f000061|Majątek zrobił nie dlatego, że był kupcem, ale że oszalał dla panny Łęckiej; a dziś, kiedy jej dosięga, co wreszcie bardzo jest niepewne, już zaczyna naradzać się z Ochockim... Słowo honoru, nie pojmuję: o czem finansista może rozmawiać z takim Ochockim?... Lunatycy!|Majątek zrobił nie dlatego że był kupcem ale że oszalał dla panny Łęckiej; a dziś kiedy jej dosięga co wreszcie bardzo jest niepewne już zaczyna naradzać się z Ochockim... Słowo honoru nie pojmuję: o czem finansista może rozmawiać z takim Ochockim?... Lunatycy!
lalka_3_09_f000062|Rzecki szczypał się w nogę, ażeby doktorowi nie zrobić awantury.|Rzecki szczypał się w nogę ażeby doktorowi nie zrobić awantury.
lalka_3_09_f000063|- Uważa pan - odezwał się pochwili - przyszedłem do pana w sprawie już nietylko Wokulskiego, ale kobiety... Kobiety, panie Szuman, a przeciw tym nic pan chyba nie znajdziesz do powiedzenia.|- Uważa pan - odezwał się pochwili - przyszedłem do pana w sprawie już nietylko Wokulskiego ale kobiety... Kobiety panie Szuman a przeciw tym nic pan chyba nie znajdziesz do powiedzenia.
lalka_3_09_f000064|- Wasze kobiety są akurat tyle warte, co i mężczyźni.|- Wasze kobiety są akurat tyle warte co i mężczyźni.
lalka_3_09_f000065|Wokulski za dziesięć lat mógłby być milionerem i potęgą w tym kraju, ale ponieważ związał losy swoje z panną Łęcką, więc sprzedał sklep doskonale procentujący, rzuci spółkę wcale niegorszą od sklepu, a potem strwoni majątek.|Wokulski za dziesięć lat mógłby być milionerem i potęgą w tym kraju ale ponieważ związał losy swoje z panną Łęcką więc sprzedał sklep doskonale procentujący rzuci spółkę wcale niegorszą od sklepu a potem strwoni majątek.
lalka_3_09_f000066|Albo ten Ochocki... Inny na jego miejscu już pracowałby nad oświetleniem elektrycznem, skoro udał mu się wynalazek.|Albo ten Ochocki... Inny na jego miejscu już pracowałby nad oświetleniem elektrycznem skoro udał mu się wynalazek.
lalka_3_09_f000067|Tymczasem on hula po Warszawie z tą ładną panią Wąsowską, dla której więcej znaczy dobry tancerz, aniżeli największy wynalazca.|Tymczasem on hula po Warszawie z tą ładną panią Wąsowską dla której więcej znaczy dobry tancerz aniżeli największy wynalazca.
lalka_3_09_f000068|Żyd zrobiłby inaczej. Gdyby był elektrotechnikiem, znalazłby sobie kobietę, która albo siedziałaby z nim w pracowni, albo handlowała elektrycznością.|Żyd zrobiłby inaczej. Gdyby był elektrotechnikiem znalazłby sobie kobietę która albo siedziałaby z nim w pracowni albo handlowała elektrycznością.
lalka_3_09_f000069|A gdyby był finansistą, jak Wokulski, nie kochałby się naoślep, tylko szukałby żony bogatej.|A gdyby był finansistą jak Wokulski nie kochałby się naoślep tylko szukałby żony bogatej.
lalka_3_09_f000070|Wreszcie możeby wziął ubogą i piękną, ale wtedy musiałyby procentować jej wdzięki.|Wreszcie możeby wziął ubogą i piękną ale wtedy musiałyby procentować jej wdzięki.
lalka_3_09_f000071|Ona prowadziłaby mu salon, zwabiała gości, uśmiechałaby się do możnych, romansowałaby z najmożniejszymi, słowem, na wszelki sposób popierałaby interes firmy, zamiast ją gubić.|Ona prowadziłaby mu salon zwabiała gości uśmiechałaby się do możnych romansowałaby z najmożniejszymi słowem na wszelki sposób popierałaby interes firmy zamiast ją gubić.
lalka_3_09_f000072|- I w tym wypadku byłeś pan przed półrokiem innego zdania - wtrącił Rzecki.|- I w tym wypadku byłeś pan przed półrokiem innego zdania - wtrącił Rzecki.
lalka_3_09_f000073|- Nie przed półrokiem, ale przed dziesięcioma laty.|- Nie przed półrokiem ale przed dziesięcioma laty.
lalka_3_09_f000074|Ba! trułem się po śmierci narzeczonej, ale to właśnie jeden więcej argument przeciw waszemu systematowi.|Ba! trułem się po śmierci narzeczonej ale to właśnie jeden więcej argument przeciw waszemu systematowi.
lalka_3_09_f000075|Dziś aż cierpnę, kiedy pomyślę, że albo mogłem umrzeć, licho wie poco, albo ożenić się z kobietą, która strwoniłaby mi majątek.|Dziś aż cierpnę kiedy pomyślę że albo mogłem umrzeć licho wie poco albo ożenić się z kobietą która strwoniłaby mi majątek.
lalka_3_09_f000076|Rzecki podniósł się z krzesła.|Rzecki podniósł się z krzesła.
lalka_3_09_f000077|- Więc teraz - rzekł - ideałem pańskim jest Szlangbaum.|- Więc teraz - rzekł - ideałem pańskim jest Szlangbaum.
lalka_3_09_f000078|- Ideałem nie, ale dzielnym człowiekiem.|- Ideałem nie ale dzielnym człowiekiem.
lalka_3_09_f000079|- Który wydobył rachunki sklepowe.|- Który wydobył rachunki sklepowe.
lalka_3_09_f000080|- Ma do tego prawo. Wszak od lipca zostanie właścicielem.|- Ma do tego prawo. Wszak od lipca zostanie właścicielem.
lalka_3_09_f000081|- A tymczasem demoralizuje kolegów, swoich przyszłych subiektów?- On ich rozpędzi!|- A tymczasem demoralizuje kolegów swoich przyszłych subiektów?- On ich rozpędzi!
lalka_3_09_f000082|- I ten pański ideał, kiedy prosił Stacha o posadę, to już wówczas myślał o zagarnięciu naszego sklepu?|- I ten pański ideał kiedy prosił Stacha o posadę to już wówczas myślał o zagarnięciu naszego sklepu?
lalka_3_09_f000083|- Nie zagarnia, tylko kupuje! - zawołał doktor. - Może wolałbyś pan, ażeby sklep zmarniał, nie znalazłszy nabywcy?...|- Nie zagarnia tylko kupuje! - zawołał doktor. - Może wolałbyś pan ażeby sklep zmarniał nie znalazłszy nabywcy?...
lalka_3_09_f000084|I kto z was mądrzejszy: pan, który po kilkudziesięciu latach nie masz nic, czy on, który w ciągu roku zdobywa taką fortecę, nikomu notabene nie robiąc krzywdy, a Wokulskiemu płacąc gotówką?|I kto z was mądrzejszy: pan który po kilkudziesięciu latach nie masz nic czy on który w ciągu roku zdobywa taką fortecę nikomu notabene nie robiąc krzywdy a Wokulskiemu płacąc gotówką?
lalka_3_09_f000085|- Może masz pan racyą, ale mnie jakoś się to nie wydaje - mruknął Rzecki, potrząsając głową.|- Może masz pan racyą ale mnie jakoś się to nie wydaje - mruknął Rzecki potrząsając głową.
lalka_3_09_f000086|- Nie wydaje się panu, bo należysz do tych, co sądzą, że ludzie jak kamienie muszą porastać mchem, nie ruszając się z miejsca.|- Nie wydaje się panu bo należysz do tych co sądzą że ludzie jak kamienie muszą porastać mchem nie ruszając się z miejsca.
lalka_3_09_f000087|Dla pana Szlangbaumy zawsze powinni być subiektami, Wokulscy zawsze pryncypałami, a Łęccy zawsze jaśnie wielmożnymi... Nie, panie!|Dla pana Szlangbaumy zawsze powinni być subiektami Wokulscy zawsze pryncypałami a Łęccy zawsze jaśnie wielmożnymi... Nie panie!
lalka_3_09_f000088|Społeczeństwo jest jak gotująca się woda: co wczoraj było na dole, dziś pędzi w górę.|Społeczeństwo jest jak gotująca się woda: co wczoraj było na dole dziś pędzi w górę.
lalka_3_09_f000089|- A jutro znowu spada na dół - zakończył Rzecki. - Dobranoc doktorze.|- A jutro znowu spada na dół - zakończył Rzecki. - Dobranoc doktorze.
lalka_3_09_f000090|Szuman ścisnął go za rękę.|Szuman ścisnął go za rękę.
lalka_3_09_f000091|- Gniewasz się pan?|- Gniewasz się pan?
lalka_3_09_f000092|- Nie... Tylko nie wierzę w ubóstwienie pieniędzy.|- Nie... Tylko nie wierzę w ubóstwienie pieniędzy.
lalka_3_09_f000093|- To stan przejściowy.|- To stan przejściowy.
lalka_3_09_f000094|- A któż panu zaręczy, że marzycielstwo Wokulskich albo Ochockich nie jest stanem przejściowym?|- A któż panu zaręczy że marzycielstwo Wokulskich albo Ochockich nie jest stanem przejściowym?
lalka_3_09_f000095|Machina latająca, śmieszna to rzecz napozór, ale tylko napozór;|Machina latająca śmieszna to rzecz napozór ale tylko napozór;
lalka_3_09_f000096|wiem cos o jej wartości, bo przez całe lata tłómaczył mi to Stach... Lecz gdyby takiemu naprzykład Ochockiemu udało się ją zbudować, pomyśl pan, co byłoby więcej warte dla świata:|wiem cos o jej wartości bo przez całe lata tłómaczył mi to Stach... Lecz gdyby takiemu naprzykład Ochockiemu udało się ją zbudować pomyśl pan co byłoby więcej warte dla świata:
lalka_3_09_f000097|czy spryt Szlangbaumów, czy marzycielstwo Wokulskich i Ochockich?|czy spryt Szlangbaumów czy marzycielstwo Wokulskich i Ochockich?
lalka_3_09_f000098|- Tere-fere! - przerwał doktor. - Już ja na tych godach nie będę.|- Tere-fere! - przerwał doktor. - Już ja na tych godach nie będę.
lalka_3_09_f000099|- Ale gdybyś pan był, musiałbyś chyba trzeci raz zmienić program.|- Ale gdybyś pan był musiałbyś chyba trzeci raz zmienić program.
lalka_3_09_f000100|Doktor zmięszał się.|Doktor zmięszał się.
lalka_3_09_f000101|- No, co tam - rzekł. - Jakiżto interes miałeś pan do mnie?|- No co tam - rzekł. - Jakiżto interes miałeś pan do mnie?
lalka_3_09_f000102|- Tej biednej Stawskiej... Ona naprawdę zakochała się w Wokulskim.|- Tej biednej Stawskiej... Ona naprawdę zakochała się w Wokulskim.
lalka_3_09_f000103|- Ehe!... takiemi sprawami już mógłbyś pan mnie nie zajmować - ofuknął go doktor.|- Ehe!... takiemi sprawami już mógłbyś pan mnie nie zajmować - ofuknął go doktor.
lalka_3_09_f000104|- Kiedy jedni zbogacają się i rosną w siłę, a inni bankrutują, on mi zawraca głowę amorami jakiejś pani Stawskiej. Nietrzeba było bawić się w swata.|- Kiedy jedni zbogacają się i rosną w siłę a inni bankrutują on mi zawraca głowę amorami jakiejś pani Stawskiej. Nietrzeba było bawić się w swata.
lalka_3_09_f000105|Rzecki opuścił doktora, tak zmartwiony, że nawet nie uważał na brutalność jego ostatnich słów.|Rzecki opuścił doktora tak zmartwiony że nawet nie uważał na brutalność jego ostatnich słów.
lalka_3_09_f000106|Dopiero na ulicy spostrzegł się i uczuł żal do Szumana.|Dopiero na ulicy spostrzegł się i uczuł żal do Szumana.
lalka_3_09_f000107|- Ot, przyjaźń żydowska! - mruknął.|- Ot przyjaźń żydowska! - mruknął.
lalka_3_09_f000108|Wielki post nie był tak nudny, jak obawiano się w modnym świecie.|Wielki post nie był tak nudny jak obawiano się w modnym świecie.
lalka_3_09_f000109|Najprzód Opatrzność zesłała wezbranie Wisły, co dało powód do publicznego koncertu i kilku prywatnych wieczorów z muzyką i deklamacyą.|Najprzód Opatrzność zesłała wezbranie Wisły co dało powód do publicznego koncertu i kilku prywatnych wieczorów z muzyką i deklamacyą.
lalka_3_09_f000110|Następnie, w szeregu prelegentów na osady rolne, wystąpił jeden krakowianin, nadzieja partyi arystokratycznej, na którego odczyt wybrało się najlepsze towarzystwo.|Następnie w szeregu prelegentów na osady rolne wystąpił jeden krakowianin nadzieja partyi arystokratycznej na którego odczyt wybrało się najlepsze towarzystwo.
lalka_3_09_f000111|Potem Szegedyn uległ powodzi, co znowu wywołało, wprawdzie nieduże składki, ale zato ogromny ruch w salonach.|Potem Szegedyn uległ powodzi co znowu wywołało wprawdzie nieduże składki ale zato ogromny ruch w salonach.
lalka_3_09_f000112|Odbył się nawet, w domu hrabiny, teatr amatorski, na którym odegrano dwie sztuki w języku francuskim i jednę w angielskim.|Odbył się nawet w domu hrabiny teatr amatorski na którym odegrano dwie sztuki w języku francuskim i jednę w angielskim.
lalka_3_09_f000113|We wszystkich tych filantropijnych zajęciach panna Izabela przyjmowała czynny udział.|We wszystkich tych filantropijnych zajęciach panna Izabela przyjmowała czynny udział.
lalka_3_09_f000114|Bywała na koncertach, zajmowała się wręczeniem bukietu uczonemu krakowianinowi, występowała w żywym obrazie w roli anioła litości i grała w sztuce Musseta: Nie igra się z miłością.|Bywała na koncertach zajmowała się wręczeniem bukietu uczonemu krakowianinowi występowała w żywym obrazie w roli anioła litości i grała w sztuce Musseta: Nie igra się z miłością.
lalka_3_09_f000115|Panowie Niwiński, Malborg, Rydzewski i Pieczarkowski prawie zasypali ją bukietami, a pan Szastalski zwierzył się kilku damom, że prawdopodobnie w tym jeszcze roku będzie musiał odebrać sobie życie.|Panowie Niwiński Malborg Rydzewski i Pieczarkowski prawie zasypali ją bukietami a pan Szastalski zwierzył się kilku damom że prawdopodobnie w tym jeszcze roku będzie musiał odebrać sobie życie.
lalka_3_09_f000116|Gdy rozeszła się wieść o zamierzonem samobójstwie, pan Szastalski stał się bohaterem rautów, a panna Izabela zyskała przydomek - okrutnej.|Gdy rozeszła się wieść o zamierzonem samobójstwie pan Szastalski stał się bohaterem rautów a panna Izabela zyskała przydomek - okrutnej.
lalka_3_09_f000117|Kiedy panowie powymykali się na wista, wówczas damy pewnego wieku miały największą przyjemność w tem, ażeby, zapomocą dowcipnych manewrów zbliżyć pannę Izabelę z Szastalskim.|Kiedy panowie powymykali się na wista wówczas damy pewnego wieku miały największą przyjemność w tem ażeby zapomocą dowcipnych manewrów zbliżyć pannę Izabelę z Szastalskim.
lalka_3_09_f000118|Z nieopisanem współczuciem przypatrywały się przez lornetki cierpieniom młodego człowieka; prawie starczyło im to za koncert.|Z nieopisanem współczuciem przypatrywały się przez lornetki cierpieniom młodego człowieka; prawie starczyło im to za koncert.
lalka_3_09_f000119|Gniewały się tylko na pannę Izabelę, widząc, że ona rozumie swoje uprzywilejowane stanowisko, a każdym ruchem i spojrzeniem zdaje się mówić:|Gniewały się tylko na pannę Izabelę widząc że ona rozumie swoje uprzywilejowane stanowisko a każdym ruchem i spojrzeniem zdaje się mówić:
lalka_3_09_f000120|patrzcie, to mnie on kocha, przezemnie jest nieszczęśliwy!..."|patrzcie to mnie on kocha przezemnie jest nieszczęśliwy!...
lalka_3_09_f000121|Wokulski znajdował się niekiedy w tych towarzystwach, widział lornetki dam skierowane na Szastalskiego i pannę Izabelę, nawet słyszał uwagi, które brzęczały mu około uszu, jak osy, ale nic nie rozumiał.|Wokulski znajdował się niekiedy w tych towarzystwach widział lornetki dam skierowane na Szastalskiego i pannę Izabelę nawet słyszał uwagi które brzęczały mu około uszu jak osy ale nic nie rozumiał.
lalka_3_09_f000122|Nim wreszcie nikt się nie zajmował, odkąd dowiedziano się, że jest poważnym konkurentem.|Nim wreszcie nikt się nie zajmował odkąd dowiedziano się że jest poważnym konkurentem.
lalka_3_09_f000123|- Nieszczęśliwa miłość budzi daleko więcej interesu - szepnęła raz panna Rzeżuchowska do pani Wąsowskiej.|- Nieszczęśliwa miłość budzi daleko więcej interesu - szepnęła raz panna Rzeżuchowska do pani Wąsowskiej.
lalka_3_09_f000124|- Kto wie, gdzie tu naprawdę jest miłość nieszczęśliwa, a nawet tragiczna! - odpowiedziała pani Wąsowska, patrząc na Wokulskiego.|- Kto wie gdzie tu naprawdę jest miłość nieszczęśliwa a nawet tragiczna! - odpowiedziała pani Wąsowska patrząc na Wokulskiego.
lalka_3_09_f000125|W kwadrans później panna Rzeżuchowska kazała przedstawić sobie Wokulskiego, a w ciągu następnego kwadransa zawiadomiła go (spuszczając przy tem oczy),|W kwadrans później panna Rzeżuchowska kazała przedstawić sobie Wokulskiego a w ciągu następnego kwadransa zawiadomiła go spuszczając przy tem oczy
lalka_3_09_f000126|że jej zdaniem, najpiękniejszą rolą kobiety jest pielęgnować ranione serca, które cierpią w milczeniu.|że jej zdaniem najpiękniejszą rolą kobiety jest pielęgnować ranione serca które cierpią w milczeniu.
lalka_3_09_f000127|Pewnego dnia, przy końcu marca, Wokulski, przyszedłszy do panny Izabeli, zastał ją w doskonałym humorze.|Pewnego dnia przy końcu marca Wokulski przyszedłszy do panny Izabeli zastał ją w doskonałym humorze.
lalka_3_09_f000128|- Wyborna wiadomość! - zawołała, witając się z nim niezwykle gorąco. - Czy wie pan, że przyjechał ten znakomity skrzypek Molinari.|- Wyborna wiadomość! - zawołała witając się z nim niezwykle gorąco. - Czy wie pan że przyjechał ten znakomity skrzypek Molinari.
lalka_3_09_f000129|- Molinari?... - powtórzył Wokulski. - Ach, tak, widziałem go w Paryżu.|- Molinari?... - powtórzył Wokulski. - Ach tak widziałem go w Paryżu.
lalka_3_09_f000130|- Tak pan chłodno o nim mówi? - zdziwiła się panna Izabela. - Czyby jego gra nie podobała się panu?- Przyznam się pani, że nawet nie uważałem, jak on gra.|- Tak pan chłodno o nim mówi? - zdziwiła się panna Izabela. - Czyby jego gra nie podobała się panu?- Przyznam się pani że nawet nie uważałem jak on gra.
lalka_3_09_f000131|- To niepodobna!... to chyba nie słyszał go pan. Pan Szastalski (no, on zawsze przesadza) powiedział, że tylko słuchając Molinarego, mógłby umrzeć bez żalu.|- To niepodobna!... to chyba nie słyszał go pan. Pan Szastalski no on zawsze przesadza powiedział że tylko słuchając Molinarego mógłby umrzeć bez żalu.
lalka_3_09_f000132|Pani Wywrotnicka jest nim zachwycona, a pani Rzeżuchowska ma zamiar wydać dla niego raut.|Pani Wywrotnicka jest nim zachwycona a pani Rzeżuchowska ma zamiar wydać dla niego raut.
lalka_3_09_f000133|- O ile mi się zdaje, jestto dosyć mierny skrzypek.|- O ile mi się zdaje jestto dosyć mierny skrzypek.
lalka_3_09_f000134|- Ależ panie!... Pan Rydzewski i pan Pieczarkowski, mieli sposobność widzieć jego album, złożone z samych recenzyj... Pan Pieczarkowski mówi, że Molinaremu ofiarowali to jego wielbiciele.|- Ależ panie!... Pan Rydzewski i pan Pieczarkowski mieli sposobność widzieć jego album złożone z samych recenzyj... Pan Pieczarkowski mówi że Molinaremu ofiarowali to jego wielbiciele.
lalka_3_09_f000135|Otóż wszyscy europejscy recenzenci nazywają go genialnym.|Otóż wszyscy europejscy recenzenci nazywają go genialnym.
lalka_3_09_f000136|Wokulski potrząsnął głową.|Wokulski potrząsnął głową.
lalka_3_09_f000137|- Widziałem go w sali, gdzie najdroższe miejsce kosztowało dwa franki.|- Widziałem go w sali gdzie najdroższe miejsce kosztowało dwa franki.
lalka_3_09_f000138|- To niepodobna, to chyba nie on... On dostał order od Ojca świętego, od szacha perskiego, ma tytuł... Miernych skrzypków nie spotykają takie odznaczenia.|- To niepodobna to chyba nie on... On dostał order od Ojca świętego od szacha perskiego ma tytuł... Miernych skrzypków nie spotykają takie odznaczenia.
lalka_3_09_f000139|Wokulski z podziwem przypatrywał się zarumienionej twarzy i błyszczącym oczom panny Izabeli. Byłyto tak silne argumenta, że zwątpił we własną pamięć i odparł:|Wokulski z podziwem przypatrywał się zarumienionej twarzy i błyszczącym oczom panny Izabeli. Byłyto tak silne argumenta że zwątpił we własną pamięć i odparł:
lalka_3_09_f000140|- Może być.|- Może być.
lalka_3_09_f000141|Ale pannę Izabelę w przykry sposób dotknęła jego obojętność dla sztuki. Sposępniała i przez resztę dnia rozmawiała z Wokulskim dosyć chłodno.|Ale pannę Izabelę w przykry sposób dotknęła jego obojętność dla sztuki. Sposępniała i przez resztę dnia rozmawiała z Wokulskim dosyć chłodno.
lalka_3_09_f000142|Głupiec jestem - pomyślał, wychodząc. - Zawsze muszę się wyrwać z czemś, co jej robi przykrość. Jeżeli jest melomanką, może uważać za świętokradztwo moje zdanie o Molinarim.|Głupiec jestem - pomyślał wychodząc. - Zawsze muszę się wyrwać z czemś co jej robi przykrość. Jeżeli jest melomanką może uważać za świętokradztwo moje zdanie o Molinarim.
lalka_3_09_f000143|I przez cały następny dzień gorzko wyrzucał sobie nieznajomość sztuki, prostactwo, niedelikatność, a nawet brak szacunku dla panny Izabeli.|I przez cały następny dzień gorzko wyrzucał sobie nieznajomość sztuki prostactwo niedelikatność a nawet brak szacunku dla panny Izabeli.
lalka_3_09_f000144|Zpewnością - mówił - znakomitszym jest ten skrzypek, który na niej zrobi wrażenie, aniżeli ten, któryby mnie się podobał.|Zpewnością - mówił - znakomitszym jest ten skrzypek który na niej zrobi wrażenie aniżeli ten któryby mnie się podobał.
lalka_3_09_f000145|Trzeba być arogantem, ażeby wypowiadać sądy tak stanowcze, tembardziej, że musiałem nie poznać się na jego grze.|Trzeba być arogantem ażeby wypowiadać sądy tak stanowcze tembardziej że musiałem nie poznać się na jego grze.
lalka_3_09_f000146|Wstyd go ogarnął.|Wstyd go ogarnął.
lalka_3_09_f000147|Na trzeci dzień otrzymał od panny Izabeli krótki liścik:|Na trzeci dzień otrzymał od panny Izabeli krótki liścik:
lalka_3_09_f000148|Panie - pisała. - Musi mi pan ułatwić zaznajomienie się z Molinarim, ale to koniecznie, koniecznie, koniecznie... Obiecałam cioci, że skłonię go, ażeby zagrał u niej na ochronę;|Panie - pisała. - Musi mi pan ułatwić zaznajomienie się z Molinarim ale to koniecznie koniecznie koniecznie... Obiecałam cioci że skłonię go ażeby zagrał u niej na ochronę;
